name,pos,team,adp,adp_sd,proj,bye,note
Jahmyr Gibbs,RB,DET,1,0.7,288,,
Bijan Robinson,RB,ATL,2,0.6,282,,
Ja'Marr Chase,WR,CIN,3,0.9,261,,
Puka Nacua,WR,LAR,4,0.9,259,,
Jonathan Taylor,RB,IND,5,1.6,241,,
Jaxon Smith-Njigba,WR,SEA,6,1.2,268,,
Christian McCaffrey,RB,SF,7,1.8,234,,
Amon-Ra St. Brown,WR,DET,8,1.6,243,,
James Cook III,RB,BUF,9,1.9,237,,
Chase Brown,RB,CIN,10,2.5,230,,
De'Von Achane,RB,MIA,11,1.9,234,,
CeeDee Lamb,WR,DAL,12,2.1,237,,
Derrick Henry,RB,BAL,13,1.4,216,,
Saquon Barkley,RB,PHI,14,3.2,229,,
Justin Jefferson,WR,MIN,15,2.6,231,,
Kenneth Walker,RB,KC,16,3.6,210,,
Omarion Hampton,RB,LAC,17,4.3,211,,
Josh Allen,QB,BUF,18,7.8,357,,
A.J. Brown,WR,NE,19,2.6,211,,
Drake London,WR,ATL,20,1.9,227,,
George Pickens,WR,DAL,21,2.4,211,,
Ashton Jeanty,RB,LV,22,3.6,191,,proj 199->191: sprained ankle Aug 23; side work only Sep 1; not on IR; GM 'good spot' but no timeline; ~1 missed game
Rashee Rice,WR,KC,23,2.9,214,,
Nico Collins,WR,HOU,24,2.7,211,,
Kyren Williams,RB,LAR,25,2.9,203,,
Brock Bowers,TE,LV,26,9.2,192,,
Trey McBride,TE,ARI,27,7.2,184,,
Chris Olave,WR,NO,28,4.6,189,,
Malik Nabers,WR,NYG,29,3.2,197,,proj 207->197: ACL+meniscus Wk 4 2025; full practice since Aug 24 but will not commit to Wk 1 (Sep 1); ~1 missed game + snap ramp
Javonte Williams,RB,DAL,30,4.2,193,,
DeVonta Smith,WR,PHI,31,3.4,187,,
Jeremiyah Love,RB,ARI,32,3.4,188,,
Travis Etienne Jr.,RB,NO,33,4.4,190,,
Zay Flowers,WR,BAL,34,2.6,215,,
D'Andre Swift,RB,CHI,35,5.1,190,,
Cam Skattebo,RB,NYG,36,5.0,189,,
Tee Higgins,WR,CIN,37,3.7,197,,
Breece Hall,RB,NYJ,38,3.8,203,,
Ladd McConkey,WR,LAC,39,4.4,189,,
Lamar Jackson,QB,BAL,40,8.3,344,,
Colston Loveland,TE,CHI,41,9.3,159,,
Tetairoa McMillan,WR,CAR,42,4.6,200,,
Bucky Irving,RB,TB,43,4.8,188,,proj 201->188: Gainwell 'heavily' on flat routes/pony package per OC (Aug 5); Tucker trusted at goal line (Aug 30); 3.4 YPC on foot/shoulder in 2025
Emeka Egbuka,WR,TB,44,4.5,192,,proj 206->192: sprained toe Aug 12; no team drills as of Sep 2 (Bowles: 'don't know how fast'); price in ~1.5 missed games + ramp
Garrett Wilson,WR,NYJ,45,4.2,191,,
Jaylen Waddle,WR,DEN,46,5.9,174,,
Quinshon Judkins,RB,CLE,47,5.6,179,,
David Montgomery,RB,HOU,48,5.2,176,,
Joe Burrow,QB,CIN,49,8.1,329,,
DJ Moore,WR,BUF,50,5.7,169,,
Drake Maye,QB,NE,51,9.2,331,,
Ollie Gordon II,RB,MIA,52.0,6.0,140,,
Jadarian Price,RB,SEA,52,9.8,153,,
Davante Adams,WR,LAR,53,4.1,186,,
Bhayshul Tuten,RB,JAX,54,6.5,176,,"proj 200->176: Coen Aug 26: 'more by committee'; Rodriguez between-the-tackles + goal line, Allen 3rd downs; 60% carry premise is wrong"
Tyler Warren,TE,IND,55,8.5,151,,
Jameson Williams,WR,DET,56,5.0,187,,
Terry McLaurin,WR,WAS,57,5.3,180,,
Luther Burden III,WR,CHI,58,6.2,168,,
Dak Prescott,QB,DAL,59,6.7,324,,
Josh Jacobs,RB,GB,60,22.3,187,,
Rome Odunze,WR,CHI,61,7.1,180,,
Christian Watson,WR,GB,62,6.4,156,,
Jayden Daniels,QB,WAS,63,13.9,347,,
Jalen Hurts,QB,PHI,64,13.6,340,,
Sam LaPorta,TE,DET,65,19.8,125,,
Harold Fannin Jr.,TE,CLE,66,6.9,133,,
Mike Evans,WR,SF,67,5.3,171,,
Rhamondre Stevenson,RB,NE,68,5.2,166,,
Marvin Harrison Jr.,WR,ARI,69,7.2,166,,
Parker Washington,WR,JAX,70,7.5,176,,
TreVeyon Henderson,RB,NE,71,6.4,168,,
Tucker Kraft,TE,GB,72,13.4,136,,
