name,pos,team,adp,adp_sd,proj,bye,note
Jahmyr Gibbs,RB,DET,1.5,0.7,288,,
Bijan Robinson,RB,ATL,2.3,0.6,282,,
Jonathan Taylor,RB,IND,5.9,1.6,241,,
Christian McCaffrey,RB,SF,7.1,1.8,234,,
James Cook III,RB,BUF,9.1,1.9,237,,
Derrick Henry,RB,BAL,10.2,1.4,216,,
De'Von Achane,RB,MIA,11.2,1.9,234,,
Chase Brown,RB,CIN,14.3,2.5,230,,
Saquon Barkley,RB,PHI,17.1,3.2,229,,
Kenneth Walker,RB,KC,20.7,3.6,210,,
Omarion Hampton,RB,LAC,22.6,4.3,211,,
Ashton Jeanty,RB,LV,23.1,3.6,199,,
Kyren Williams,RB,LAR,27.2,2.9,203,,
Jeremiyah Love,RB,ARI,29.5,3.4,188,,
Breece Hall,RB,NYJ,32.9,3.8,203,,
Javonte Williams,RB,DAL,33.0,4.2,193,,
Travis Etienne Jr.,RB,NO,37.6,4.4,190,,
Cam Skattebo,RB,NYG,39.3,5.0,189,,
Josh Jacobs,RB,GB,42.4,22.3,187,,
D'Andre Swift,RB,CHI,42.8,5.1,190,,
Bucky Irving,RB,TB,48.7,4.8,201,,
Quinshon Judkins,RB,CLE,49.9,5.6,179,,
Ollie Gordon II,RB,MIA,52.0,6.0,140,,
Bhayshul Tuten,RB,JAX,53.0,6.5,200,,
David Montgomery,RB,HOU,56.1,5.2,176,,
Rhamondre Stevenson,RB,NE,62.2,5.2,166,,
Jaylen Warren,RB,PIT,62.6,5.4,176,,
TreVeyon Henderson,RB,NE,63.9,6.4,168,,
Tony Pollard,RB,TEN,66.5,5.5,164,,
Jadarian Price,RB,SEA,72.2,9.8,153,,
Rico Dowdle,RB,PIT,72.5,6.7,153,,
J.K. Dobbins,RB,DEN,80.6,8.7,148,,
Chuba Hubbard,RB,CAR,88.9,9.2,137,,
Jonathon Brooks,RB,CAR,90.7,10.6,133,,
Kenny Gainwell,RB,TB,98.2,11.7,134,,
J. Croskey-Merritt,RB,WAS,102.9,12.0,137,,
Kyle Monangai,RB,CHI,107.1,12.1,132,,
RJ Harvey,RB,DEN,108.0,13.5,142,,
Jordan Mason,RB,MIN,112.2,14.2,113,,
Blake Corum,RB,LAR,120.7,15.8,110,,
Rachaad White,RB,WAS,123.5,14.0,105,,
Woody Marks,RB,HOU,140.8,17.2,112,,
Zach Charbonnet,RB,SEA,134.8,15.9,111,,
MarShawn Lloyd,RB,GB,128.9,29.3,98,,
Tyler Allgeier,RB,ARI,153.6,17.9,92,,
Isiah Pacheco,RB,DET,158.6,21.0,90,,
Mike Washington Jr.,RB,LV,154.9,25.1,95,,
Tank Bigsby,RB,PHI,159.8,18.8,85,,
Chris Rodriguez Jr.,RB,JAX,151.4,16.7,95,,
Dylan Sampson,RB,CLE,163.7,17.8,82,,
Braelon Allen,RB,NYJ,146.9,48.8,90,,
Alvin Kamara,RB,NO,157.6,21.1,88,,
Keaton Mitchell,RB,LAC,164.8,20.6,78,,
Tyrone Tracy Jr.,RB,NYG,151.6,20.6,85,,
Jonah Coleman,RB,DEN,148.1,29.4,80,,
Ray Davis,RB,BUF,160.2,9.2,78,,
Tyjae Spears,RB,TEN,132.3,25.0,95,,
Emmett Johnson,RB,KC,171.4,19.7,72,,
Brian Robinson,RB,ATL,149.3,36.9,84,,
Puka Nacua,WR,LAR,2.9,0.9,259,,
Ja'Marr Chase,WR,CIN,4.0,0.9,261,,
Jaxon Smith-Njigba,WR,SEA,5.3,1.2,268,,
Amon-Ra St. Brown,WR,DET,7.5,1.6,243,,
CeeDee Lamb,WR,DAL,12.2,2.1,237,,
Justin Jefferson,WR,MIN,13.4,2.6,231,,
Drake London,WR,ATL,13.6,1.9,227,,
A.J. Brown,WR,NE,17.2,2.6,211,,
Rashee Rice,WR,KC,17.6,2.9,214,,
George Pickens,WR,DAL,18.7,2.4,211,,
Nico Collins,WR,HOU,21.2,2.7,211,,
Chris Olave,WR,NO,22.9,4.6,189,,
Zay Flowers,WR,BAL,23.4,2.6,215,,
Malik Nabers,WR,NYG,25.5,3.2,207,,
Tetairoa McMillan,WR,CAR,30.5,4.6,200,,
DeVonta Smith,WR,PHI,30.7,3.4,187,,
Garrett Wilson,WR,NYJ,30.9,4.2,191,,
Tee Higgins,WR,CIN,34.7,3.7,197,,
Emeka Egbuka,WR,TB,34.7,4.5,206,,
Davante Adams,WR,LAR,37.5,4.1,186,,
Jameson Williams,WR,DET,39.3,5.0,187,,
Ladd McConkey,WR,LAC,41.1,4.4,189,,
Jaylen Waddle,WR,DEN,45.9,5.9,174,,
Terry McLaurin,WR,WAS,46.1,5.3,180,,
DJ Moore,WR,BUF,47.8,5.7,169,,
Rome Odunze,WR,CHI,50.1,7.1,180,,
Mike Evans,WR,SF,53.3,5.3,171,,
Christian Watson,WR,GB,55.4,6.4,156,,
Luther Burden III,WR,CHI,56.4,6.2,168,,
Courtland Sutton,WR,DEN,61.6,6.6,165,,
Alec Pierce,WR,IND,62.7,7.6,165,,
DK Metcalf,WR,PIT,63.7,7.3,164,,
Parker Washington,WR,JAX,64.6,7.5,176,,
Marvin Harrison Jr.,WR,ARI,65.6,7.2,166,,
Brian Thomas Jr.,WR,JAX,72.4,7.8,171,,
Michael Wilson,WR,ARI,73.5,7.3,148,,
Carnell Tate,WR,TEN,75.6,7.4,148,,
Chris Godwin Jr.,WR,TB,77.3,8.4,145,,
Michael Pittman Jr.,WR,PIT,81.7,7.5,150,,
Quentin Johnston,WR,LAC,86.3,9.2,146,,
Jakobi Meyers,WR,JAX,86.9,7.1,143,,
Jayden Reed,WR,GB,87.8,9.2,140,,
Jordan Addison,WR,MIN,89.0,10.1,148,,
Josh Downs,WR,IND,93.5,10.9,139,,
Stefon Diggs,WR,WAS,94.1,9.9,135,,
Wan'Dale Robinson,WR,TEN,94.9,9.0,131,,
Xavier Worthy,WR,KC,99.3,11.2,148,,
Romeo Doubs,WR,NE,101.6,11.0,128,,
Matthew Golden,WR,GB,101.7,10.6,133,,
Deebo Samuel Sr.,WR,SF,106.5,11.7,123,,
Khalil Shakir,WR,BUF,108.6,10.0,134,,
KC Concepcion,WR,CLE,113.8,10.2,122,,
Jalen Coker,WR,CAR,115.9,7.7,122,,
Rashid Shaheed,WR,SEA,119.1,11.1,130,,
Jerry Jeudy,WR,CLE,123.7,9.6,112,,
De'Zhaun Stribling,WR,SF,125.5,13.4,110,,
Keenan Allen,WR,IND,132.5,18.4,110,,
Makai Lemon,WR,PHI,133.0,12.1,114,,
Jalen McMillan,WR,TB,134.1,8.8,112,,
Tre Tucker,WR,LV,130.2,10.1,115,,
Calvin Ridley,WR,TEN,141.0,9.0,118,,
Jauan Jennings,WR,MIN,141.3,7.7,112,,
Rashod Bateman,WR,BAL,137.4,14.1,110,,
Malik Washington,WR,MIA,142.6,14.6,105,,
Denzel Boston,WR,CLE,138.7,9.0,108,,
Cooper Kupp,WR,SEA,150.6,13.1,98,,
Travis Hunter,WR,JAX,163.6,11.3,107,,
Jordyn Tyson,WR,NO,158.8,13.7,100,,
Troy Franklin,WR,DEN,163.0,22.7,95,,
Tank Dell,WR,HOU,163.0,18.2,95,,
Adonai Mitchell,WR,NYJ,159.9,11.9,92,,
Dontayvion Wicks,WR,PHI,155.8,14.2,92,,
Ryan Flournoy,WR,DAL,159.8,14.8,88,,
Ja'Kobi Lane,WR,BAL,167.3,19.3,88,,
Jaylin Noel,WR,HOU,164.6,15.5,86,,
Kayshon Boutte,WR,HOU,158.6,15.0,90,,
Devaughn Vele,WR,NO,163.1,9.3,85,,
Malachi Fields,WR,NYG,155.5,24.9,88,,
Isaac TeSlaa,WR,DET,171.2,44.9,82,,
Caleb Douglas,WR,MIA,169.9,20.4,80,,
Brock Bowers,TE,LV,41.4,9.2,192,,
Trey McBride,TE,ARI,37.9,7.2,184,,
Colston Loveland,TE,CHI,58.9,9.3,159,,
Kyle Pitts Sr.,TE,ATL,93.6,14.8,150,,
Tyler Warren,TE,IND,71.0,8.5,151,,
Tucker Kraft,TE,GB,89.7,13.4,136,,
Harold Fannin Jr.,TE,CLE,81.3,6.9,133,,
George Kittle,TE,SF,89.7,13.3,129,,
Sam LaPorta,TE,DET,116.4,19.8,125,,
Travis Kelce,TE,KC,124.2,18.0,122,,
Dallas Goedert,TE,PHI,109.2,24.8,118,,
Isaiah Likely,TE,NYG,136.1,19.3,118,,
Mark Andrews,TE,BAL,130.1,20.4,116,,
Jake Ferguson,TE,DAL,140.7,21.8,114,,
Dalton Kincaid,TE,BUF,141.5,21.1,112,,
T.J. Hockenson,TE,MIN,172.2,15.5,112,,
Juwan Johnson,TE,NO,154.0,20.7,110,,
Brenton Strange,TE,JAX,162.8,21.5,104,,
Hunter Henry,TE,NE,161.5,15.2,103,,
Chig Okonkwo,TE,WAS,171.9,18.3,97,,
Dalton Schultz,TE,HOU,167.7,26.2,95,,
Oronde Gadsden,TE,LAC,157.0,24.4,84,,
Terrance Ferguson,TE,LAR,166.3,16.2,82,,
Josh Allen,QB,BUF,32.2,7.8,357,,
Jayden Daniels,QB,WAS,72.2,13.9,347,,
Lamar Jackson,QB,BAL,56.4,8.3,344,,
Jalen Hurts,QB,PHI,81.6,13.6,340,,
Drake Maye,QB,NE,52.0,9.2,331,,
Joe Burrow,QB,CIN,54.9,8.1,329,,
Patrick Mahomes,QB,KC,103.9,14.0,326,,
Dak Prescott,QB,DAL,65.2,6.7,324,,
Jaxson Dart,QB,NYG,117.0,18.1,318,,
Justin Herbert,QB,LAC,105.8,14.1,315,,
Caleb Williams,QB,CHI,91.2,12.1,314,,
Kyler Murray,QB,MIN,136.0,11.9,312,,
Baker Mayfield,QB,TB,135.3,10.0,308,,
Bo Nix,QB,DEN,112.0,14.1,304,,
Brock Purdy,QB,SF,84.0,12.9,303,,
Trevor Lawrence,QB,JAX,93.0,13.7,301,,
Matthew Stafford,QB,LAR,72.7,13.8,297,,
Jared Goff,QB,DET,102.1,12.1,291,,
Jordan Love,QB,GB,149.8,14.4,284,,
C.J. Stroud,QB,HOU,160.4,17.5,281,,
Daniel Jones,QB,IND,161.9,15.6,277,,
Sam Darnold,QB,SEA,145.6,21.9,245,,
Tyler Shough,QB,NO,139.3,10.6,250,,
Bryce Young,QB,CAR,169.9,23.8,248,,
Malik Willis,QB,MIA,167.4,14.8,240,,
Jacoby Brissett,QB,ARI,170.0,33.5,235,,
Seattle Defense,DEF,SEA,82.2,8.1,118,,
Denver Defense,DEF,DEN,92.6,9.3,116,,
Houston Defense,DEF,HOU,97.6,11.4,114,,
LA Rams Defense,DEF,LAR,107.3,10.7,112,,
Minnesota Defense,DEF,MIN,108.1,7.8,110,,
New England Defense,DEF,NE,126.2,15.0,108,,
Philadelphia Defense,DEF,PHI,129.5,16.3,107,,
Detroit Defense,DEF,DET,131.9,12.7,106,,
Pittsburgh Defense,DEF,PIT,138.8,15.2,104,,
Baltimore Defense,DEF,BAL,168.4,22.8,103,,
Buffalo Defense,DEF,BUF,167.8,14.4,102,,
Jacksonville Defense,DEF,JAX,159.2,15.2,101,,
LA Chargers Defense,DEF,LAC,145.1,12.7,100,,
Cleveland Defense,DEF,CLE,165.3,14.0,98,,
Atlanta Defense,DEF,ATL,162.6,13.2,97,,
Dallas Defense,DEF,DAL,172.9,16.1,95,,
Chicago Defense,DEF,CHI,173.2,23.7,95,,
NY Giants Defense,DEF,NYG,168.5,19.9,94,,
New Orleans Defense,DEF,NO,179.5,20.2,92,,
Tennessee Defense,DEF,TEN,185.4,16.1,90,,
Cincinnati Defense,DEF,CIN,188.6,24.7,90,,
Brandon Aubrey,K,DAL,131.9,21.3,155,,
Cameron Dicker,K,LAC,138.8,22.7,143,,
Jason Myers,K,SEA,126.5,24.0,142,,
Jake Bates,K,DET,139.4,16.6,140,,
Cam Little,K,JAX,142.8,17.7,139,,
Ka'imi Fairbairn,K,HOU,143.5,19.2,137,,
Chase McLaughlin,K,TB,145.7,16.2,136,,
Harrison Mevis,K,LAR,146.4,17.1,135,,
Tyler Loop,K,BAL,150.8,15.1,134,,
Will Reichard,K,MIN,158.2,19.3,132,,
Evan McPherson,K,CIN,172.2,14.6,131,,
Wil Lutz,K,DEN,169.6,16.0,130,,
Harrison Butker,K,KC,162.2,18.7,130,,
Chris Boswell,K,PIT,167.6,11.0,129,,
Eddy Pineiro,K,SF,168.6,22.9,128,,
Trey Smack,K,GB,156.5,13.9,127,,
Andy Borregales,K,NE,183.2,26.5,126,,
Cairo Santos,K,CHI,184.7,22.5,125,,
Blake Grupe,K,NYJ,162.5,18.9,124,,
Tyler Bass,K,BUF,160.7,30.7,124,,
